#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents,Languages,SV trend (09-2024 - 08-2026),SV Forecasting trend (09-2026 - 09-2027),Category
107,animal doctor veterinary doctor visiting card,pk,,,,,,,,,,,2024-09-18,,,"4, 5, 6, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
108,doctor cleaning animal bite wound,pk,,,,,,,,10,,,2026-04-23,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 0, 0",1,
109,veterinary doctor experience certificate,pk,,,,,,,,,,,2020-09-05,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
110,veterinary doctor jobs in uk,pk,,,,,,,,,,,2022-08-22,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
111,animal doctor job,pk,,,,,,,,,,,2020-05-08,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
112,veterinary doctor resume samples,pk,,,,,,,,10,,,2020-01-18,,,"1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 2, 0, 0",2,
113,what is salary of veterinary doctor,pk,,,,,,,,10,,,2020-05-16,,,"3, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0",1,
114,what to do to become veterinary doctor,pk,,,,,,,,10,,,2024-05-08,,,"1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
115,asim pets clinic (defence) lahore,pk,,,,,,,,,,,2022-02-08,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
116,how to study veterinary doctor,pk,,,,,,,,50,,,2023-01-13,,,"0, 2, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0",1,
117,veterinary doctor contact number,pk,,,,,,,,20,,,2020-04-06,,,"0, 1, 3, 2, 3, 0, 0, 0, 14, 2, 2, 4, 0, 3, 1, 3, 3, 5, 3, 2, 12, 3, 6, 7",6,
118,veterinary doctor pic,pk,,,,,,,,10,,,2018-07-09,,,"0, 0, 0, 0, 2, 0, 4, 0, 2, 4, 0, 5, 5, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
119,veterinary doctor work,pk,,,,,,,,20,,,2021-02-25,,,"1, 0, 1, 0, 1, 1, 0, 0, 3, 0, 0, 1, 0, 2, 0, 1, 2, 0, 0, 0, 0, 1, 0, 0",1,
120,online veterinary doctor consultation,pk,,,,,,,,20,,,2021-08-24,,,"1, 1, 0, 2, 3, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0",1,
121,veterinary doctor hospital,pk,,,,,,,,10,,,2022-07-22,,,"1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 1, 1, 0, 0, 0",1,
122,doctor animal name,pk,,,,,,,,,,,2023-12-01,,,"4, 1, 1, 0, 0, 0, 3, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
123,mobile animal doctor,pk,,,,,,,,10,,,2020-07-24,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
124,animal doctor games online,pk,,,,,,,,,,,2017-02-24,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
125,animal doctor near by me,pk,,,,,,,,30,,,2020-01-20,,,"1, 0, 0, 0, 0, 0, 1, 1, 2, 1, 0, 0, 2, 0, 0, 1, 0, 0, 0, 1, 6, 0, 0, 0",1,
126,veterinary doctor vacancy,pk,,,,,,,,60,,,2021-01-15,,,"0, 0, 0, 0, 1, 0, 0, 2, 1, 2, 1, 0, 1, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0",1,
127,animal doctor what is called,pk,,,,,,,,20,,,2025-03-03,,,"0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 1",2,
128,best veterinary doctor in pune,pk,,,,,,,,20,,,2021-08-06,,,"0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
129,name of animal doctor,pk,,,,,,,,40,,,2020-02-07,,,"4, 2, 11, 4, 6, 3, 4, 0, 0, 0, 2, 0, 6, 4, 0, 0, 1, 0, 3, 3, 2, 6, 5, 0",5,
130,veterinary doctor diploma,pk,,,,,,,,30,,,2018-10-12,,,"0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 2, 5, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0",1,
131,vacancy for veterinary doctor,pk,,,,,,,,10,,,2020-03-09,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
132,ben 10 vs doctor animal games,pk,,,,,,,,,,,2017-09-16,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
133,a animal doctor is called,pk,,,,,,,,10,,,2022-01-09,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0",1,
134,who are veterinary doctor,pk,,,,,,,,,,,2021-03-22,,,"3, 2, 0, 1, 2, 2, 0, 1, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
135,veterinary doctor jobs in india,pk,,,,,,,,60,,,2020-03-28,,,"0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
136,tools used by veterinary doctor,pk,,,,,,,,10,,,2022-11-14,,,"0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0",1,
137,nearby animal doctor,pk,,,,,,,,60,,,2020-03-13,,,"0, 0, 0, 0, 0, 0, 0, 1, 4, 0, 0, 2, 1, 0, 0, 1, 0, 2, 3, 1, 5, 0, 0, 0",1,
138,veterinary doctor meaning in english,pk,,,,,,,,,,,2016-02-01,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
139,application letter for veterinary doctor,pk,,,,,,,,,,,2021-01-18,,,"0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
140,animal doctor home visit,pk,,,,,,,,20,,,2020-05-11,,,"1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0",1,
141,online animal doctor free,pk,,,,,,,,,,,2025-07-25,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
142,what is the salary of veterinary doctor in abroad,pk,,,,,,,,10,,,2025-05-22,,,"0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 1, 0",1,
143,gentle doctor animal hospital omaha,pk,,,,,,,,60,,,2022-10-04,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
144,universal pets clinic lahore,pk,,,,,,,,,,,2022-07-26,,,"3, 5, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
145,what is a doctor of veterinary medicine,pk,,,,,,,,20,,,2020-07-16,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0",1,
146,"round lake animal hospital, lahore photos",pk,,,,,,,,,,,2023-05-05,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
147,salary of a veterinary doctor,pk,,,,,,,,50,,,2020-03-15,,,"0, 2, 0, 0, 1, 0, 4, 1, 0, 2, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1",2,
148,vat animal doctor,pk,,,,,,,,,,,2021-04-30,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0",2,
149,which course for veterinary doctor,pk,,,,,,,,10,,,2022-12-29,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0",2,
150,government animal doctor,pk,,,,,,,,,,,2018-05-19,,,"2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 1, 0, 0, 1, 1, 2, 0, 0, 2, 0, 0, 0",1,
151,what the name of animal doctor,pk,,,,,,,,,,,2024-07-25,,,"2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0",1,
152,faith pets clinic lahore,pk,,,,,,,,,,,2023-05-06,,,"2, 0, 6, 8, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
153,what is name of animal doctor,pk,,,,,,,,,,,2023-10-24,,,"1, 6, 0, 2, 4, 2, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 2, 0, 0, 0",1,
154,animal eye doctor,pk,,,,,,,,300,,,2017-02-25,,,"0, 1, 0, 0, 1, 0, 1, 3, 2, 3, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0",2,
155,veterinary doctor photos,pk,,,,,,,,70,,,2020-12-28,,,"0, 0, 2, 0, 1, 3, 3, 3, 6, 0, 3, 4, 8, 3, 6, 3, 1, 3, 1, 0, 2, 3, 1, 1",3,
156,veterinary eye doctor,pk,,,,,,,,250,,,2021-04-19,,,"0, 1, 0, 2, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
157,who is the veterinary doctor,pk,,,,,,,,10,,,2022-05-06,,,"0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
158,exam for veterinary doctor,pk,,,,,,,,60,,,2022-04-18,,,"1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
159,doctor of veterinary medicine monash,pk,,,,,,,,20,,,2021-10-22,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1",1,
160,"round lake animal hospital, lahore reviews",pk,,,,,,,,,,,2023-05-06,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
161,is veterinary a doctor,pk,,,,,,,,30,,,2022-04-23,,,"2, 0, 1, 0, 1, 0, 1, 2, 1, 1, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0",2,
162,animal doctor movie,pk,,,,,,,,10,,,2015-11-22,,,"0, 0, 0, 2, 1, 2, 0, 3, 3, 4, 1, 1, 0, 2, 1, 2, 0, 1, 0, 1, 1, 0, 0, 0",1,
163,animal doctor in islamabad,pk,,,,,,,,,,,2015-12-20,,,"3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
164,veterinary doctor study,pk,,,,,,,,60,,,2019-09-20,,,"0, 10, 1, 1, 1, 1, 0, 2, 4, 5, 0, 1, 4, 3, 5, 1, 1, 5, 1, 0, 0, 0, 0, 1",2,
165,what is the qualification for veterinary doctor,pk,,,,,,,,30,,,2023-03-24,,,"0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0",1,
166,best veterinary doctor in kolkata,pk,,,,,,,,200,,,2021-03-20,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
167,near animal doctor,pk,,,,,,,,20,,,2020-01-24,,,"0, 2, 0, 2, 0, 5, 0, 2, 2, 4, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 9, 1, 0, 1",2,
168,salary of veterinary doctor in usa,pk,,,,,,,,70,,,2017-04-17,,,"12, 7, 10, 8, 6, 5, 7, 9, 7, 2, 3, 3, 7, 3, 4, 4, 0, 0, 0, 2, 1, 1, 4, 2",3,
169,cv format for veterinary doctor,pk,,,,,,,,,,,2016-04-11,,,"0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
170,how become veterinary doctor,pk,,,,,,,,10,,,2023-07-06,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
171,animal doctor anime,pk,,,,,,,,,,,2021-04-02,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
172,free veterinary doctor near me open now,pk,,,,,,,,10,,,2024-11-22,,,"0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 2, 1, 1, 0, 1, 0",2,
173,the animal doctor cary il,pk,,,,,,,,40,,,2020-08-21,,,"0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
174,veterinary doctor salary india 2025,pk,,,,,,,,10,,,2025-07-28,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0",1,
175,doctor note for emotional support animal,pk,,,,,,,,30,,,2021-07-03,,,"0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
176,what is meant by veterinary doctor,pk,,,,,,,,,,,2021-09-24,,,"0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
177,caring claws veterinary clinic lahore,pk,,,,,,,,,,,2022-04-03,,,"0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
178,how to get a doctor of veterinary medicine degree,pk,,,,,,,,,,,2020-06-23,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
179,famous animal doctor,pk,,,,,,,,20,,,2022-07-25,,,"0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0",1,
180,requirement for veterinary doctor,pk,,,,,,,,10,,,2024-01-28,,,"0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
181,veterinary doctor qualification in india,pk,,,,,,,,40,,,2023-09-15,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
182,asim pets clinic lahore dha,pk,,,,,,,,,,,2015-11-26,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
183,a veterinary doctor,pk,,,,,,,,50,,,2017-09-13,,,"1, 1, 2, 0, 0, 1, 1, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 2, 0, 1, 0, 1, 2, 1",2,
184,best animal doctor,pk,,,,,,,,10,,,2020-01-27,,,"0, 0, 0, 0, 0, 0, 1, 1, 2, 3, 2, 1, 2, 0, 1, 0, 3, 0, 0, 1, 2, 0, 2, 0",2,
185,veterinary surgeon doctor,pk,,,,,,,,,,,2022-06-19,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0",1,
186,veterinary doctor scope in pakistan,pk,,,,,,,,,,,2021-09-29,,,"24, 13, 0, 0, 0, 0, 0, 0, 0, 5, 0, 20, 18, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
187,veterinary doctor salary in singapore,pk,,,,,,,,,,,2024-04-28,,,"0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 3, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0",1,
188,veterinary doctor government jobs,pk,,,,,,,,30,,,2021-03-05,,,"1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
189,can i become veterinary doctor after bsc zoology,pk,,,,,,,,,,,2023-06-26,,,"6, 1, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
190,doctor of veterinary medicine (dvm) degree,pk,,,,,,,,20,,,2020-09-01,,,"5, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
191,veterinary doctor job description,pk,,,,,,,,20,,,2020-03-18,,,"1, 1, 1, 0, 2, 1, 1, 0, 1, 1, 0, 0, 4, 3, 0, 0, 2, 1, 0, 1, 1, 0, 0, 0",1,
192,veterinary doctor day,pk,,,,,,,,50,,,2020-04-25,,,"0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 3, 2, 0, 2, 0",2,
193,richest veterinary doctor in india,pk,,,,,,,,30,,,2024-02-11,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0",1,
194,veterinary doctor bag,pk,,,,,,,,30,,,2020-07-13,,,"0, 1, 0, 4, 5, 0, 2, 2, 9, 3, 2, 5, 3, 1, 3, 7, 1, 2, 1, 0, 0, 1, 0, 1",2,
195,gentle doctor animal hospital las vegas,pk,,,,,,,,20,,,2020-01-11,,,"0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
196,veterinary doctor how many years course,pk,,,,,,,,40,,,2023-10-22,,,"1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0",1,
197,veterinary bag doctor,pk,,,,,,,,30,,,2024-06-02,,,"1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 2, 0, 0, 0, 2, 2, 0, 0, 2, 0, 0",2,
198,best veterinary doctor in jaipur,pk,,,,,,,,40,,,2021-04-21,,,"0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
199,veterinary doctor in ghaziabad,pk,,,,,,,,10,,,2021-09-15,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
200,animal doctor surat contact number,pk,,,,,,,,30,,,2022-08-04,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
201,veterinary doctor pakistan,pk,,,,,,,,,,,2026-01-15,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 2, 0, 0, 0, 0, 0",1,
202,veterinary doctor required neet,pk,,,,,,,,30,,,2022-07-19,,,"1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
203,veterinary doctor degree duration,pk,,,,,,,,10,,,2025-01-22,,,"0, 0, 0, 0, 1, 3, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 0, 3, 7, 4, 1",5,
204,fees of veterinary doctor,pk,,,,,,,,20,,,2020-10-10,,,"0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0",2,
205,the animal doctor amk,pk,,,,,,,,,,,2020-08-02,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
206,animal doctor crossword clue 3 letters,pk,,,,,,,,150,,,2026-01-31,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4, 7, 18, 0, 0, 0",1,
207,veterinary vet doctor,pk,,,,,,,,,,,2020-07-12,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
208,animal doctor pronunciation,pk,,,,,,,,,,,2021-10-04,,,"0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0",2,
209,veterinary doctor income,pk,,,,,,,,10,,,2023-03-30,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0",2,
210,veterinary doctor in roorkee,pk,,,,,,,,,,,2023-11-17,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
211,veterinary doctor resume examples,pk,,,,,,,,,,,2023-07-10,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
212,veterinary doctor grade pay,pk,,,,,,,,10,,,2021-01-31,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
213,lahore animal hospital photos,pk,,,,,,,,,,,2023-06-20,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
214,furry friends pets clinic lahore reviews,pk,,,,,,,,,,,2024-10-18,,,"0, 7, 8, 31, 1, 21, 12, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
215,near animal doctor contact number,pk,,,,,,,,,,,2026-05-25,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 0, 0",2,
216,scope of veterinary doctor in pakistan,pk,,,,,,,,,,,2015-09-14,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
217,subject for veterinary doctor,pk,,,,,,,,10,,,2022-11-21,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
218,animal doctor palm harbor,pk,,,,,,,,,,,2022-05-01,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
219,animal doctor course fees,pk,,,,,,,,40,,,2022-09-30,,,"0, 0, 1, 3, 2, 2, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 2, 0, 0",2,
220,veterinary doctor salary in new zealand,pk,,,,,,,,20,,,2018-12-27,,,"2, 3, 0, 0, 1, 0, 1, 1, 0, 2, 2, 1, 0, 2, 0, 2, 0, 1, 2, 1, 0, 1, 1, 0",2,
221,student doctor veterinary,pk,,,,,,,,50,,,2024-12-06,,,"0, 0, 0, 1, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
222,hyderabad veterinary doctor,pk,,,,,,,,,,,2020-02-09,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
223,veterinary doctor in hyderabad,pk,,,,,,,,,,,2017-11-19,,,"2, 0, 1, 0, 0, 0, 1, 2, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
224,veterinary doctor cake design,pk,,,,,,,,10,,,2023-09-05,,,"0, 0, 0, 5, 5, 8, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0",1,
225,how to become animal doctor after 12th,pk,,,,,,,,,,,2024-09-15,,,"1, 0, 3, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
226,veterinary doctor in islamabad,pk,0,,0.05,,cat doctor near me,2026-07-28 19:22:55,"Local pack,Discussions,People also ask",,70,70,2016-06-20,"Informational,Commercial,Non-branded,Local",English,"0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 7, 1, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0",1,Veterinarians
227,veterinary doctor emergency number,pk,,,,,,,,30,,,2020-07-23,,,"2, 0, 1, 1, 0, 0, 3, 2, 4, 5, 0, 0, 1, 1, 1, 0, 2, 1, 0, 3, 2, 0, 1, 0",2,
228,model town pets clinic lahore,pk,,,,,,,,,,,2023-03-14,,,"16, 11, 29, 6, 6, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
229,veterinary doctor in jaipur,pk,,,,,,,,30,,,2021-09-21,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
230,veterinary doctor scope in abroad,pk,,,,,,,,10,,,2018-09-29,,,"1, 2, 0, 2, 0, 2, 2, 3, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 3, 5, 0, 2",3,
